,context_annotations,created_at,id,public_metrics,entities,text
414,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '844603730221707264', 'name': 'Fashion', 'description': 'Fashion'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1006277139233103872', 'name': 'Behavior around fashion', 'description': 'Behavior around Fashion'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '844603730221707264', 'name': 'Fashion', 'description': 'Fashion'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '844604232737087488', 'name': 'General Fashion', 'description': 'General Fashion'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '849639334663696384', 'name': 'Pants', 'description': 'Pants'}}]",2020-10-30T13:58:11.000Z,1322175971232022530,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 1}",,How many times have you not worn pants on a video chat/call since covid started?
415,,2020-10-30T12:48:15.000Z,1322158373777874946,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}","{'urls': [{'start': 110, 'end': 133, 'url': 'https://t.co/TR8kv5uA4j', 'expanded_url': 'https://marginalrevolution.com/marginalrevolution/2020/10/rational-criminals-irrational-lawmakers.html', 'display_url': 'marginalrevolution.com/marginalrevolu…'}]}","Having traveled to SF regularly for 15 years for work, it has been really sad to watch it decline like this.  https://t.co/TR8kv5uA4j"
416,,2020-10-30T11:38:08.000Z,1322140729397956608,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 85, 'end': 108, 'url': 'https://t.co/IpY00phEpN', 'expanded_url': 'https://www.nytimes.com/2020/10/30/us/trump-biden-alcohol.html', 'display_url': 'nytimes.com/2020/10/30/us/…'}], 'mentions': [{'start': 40, 'end': 49, 'username': 'AndySwan'}]}",Wondering if this news is going to make @AndySwan vote for a third party candidate.  https://t.co/IpY00phEpN
417,,2020-10-30T11:36:18.000Z,1322140265319223296,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 18, 'end': 41, 'url': 'https://t.co/kL05NwxC6f', 'expanded_url': 'https://www.amazon.com/Parasitic-Mind-Infectious-Killing-Common-ebook/dp/B0853F4VKP', 'display_url': 'amazon.com/Parasitic-Mind…'}, {'start': 63, 'end': 86, 'url': 'https://t.co/x9BAnHr0ln', 'expanded_url': 'https://twitter.com/nytdavidbrooks/status/1321992313917288449', 'display_url': 'twitter.com/nytdavidbrooks…'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'GadSaad'}]}",RT @GadSaad: Read https://t.co/kL05NwxC6f. It explains it all. https://t.co/x9BAnHr0ln
418,,2020-10-30T11:33:49.000Z,1322139640904572928,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 7, 'quote_count': 1}",,"The reason you can't discuss politics at work is because people aren't engaging so they can learn and respect you.  Both parties see all of their viewpoints as moral issues, not pragmatic issues capable of negotiation and tradeoff, so ""discussion"" becomes ""proselytizing""."
419,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1090324787849654272', 'name': 'Expensify', 'description': 'Expensify'}}]",2020-10-30T11:33:48.000Z,1322139639864565760,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",,"What people miss about ""politics at work"" discussion via the Coinbase and Expensify examples is that what has ruined it is both sides are 100% sure they are right about everything.  There is very little intellectual integrity or open-mindedness or acceptance of other viewpoints"
420,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'Former US Vice President Joe Biden'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'Former US Vice President Joe Biden'}}]",2020-10-30T11:18:31.000Z,1322135790118424579,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}","{'annotations': [{'start': 5, 'end': 11, 'probability': 0.8749, 'type': 'Place', 'normalized_text': 'America'}, {'start': 28, 'end': 34, 'probability': 0.7558, 'type': 'Place', 'normalized_text': 'America'}, {'start': 84, 'end': 88, 'probability': 0.9874, 'type': 'Person', 'normalized_text': 'Biden'}], 'urls': [{'start': 92, 'end': 115, 'url': 'https://t.co/9LBiN1mBhF', 'expanded_url': 'https://www.theatlantic.com/international/archive/2020/10/donald-trump-foreign-policy-america-first/616872/', 'display_url': 'theatlantic.com/international/…'}]}",How 'America First' Became 'America Alone'  - This is the #1 reason I am voting for Biden.  https://t.co/9LBiN1mBhF
421,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '783327988611813376', 'name': 'Colin Kaepernick', 'description': 'Colin Kaepernick'}}, {'domain': {'id': '60', 'name': 'Athlete', 'description': 'An athlete in the world, like Serena Williams or Lionel Messi'}, 'entity': {'id': '783327988611813376', 'name': 'Colin Kaepernick', 'description': 'Colin Kaepernick'}}]",2020-10-30T01:07:05.000Z,1321981918724968448,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","{'annotations': [{'start': 7, 'end': 12, 'probability': 0.902, 'type': 'Organization', 'normalized_text': 'Boston'}, {'start': 62, 'end': 69, 'probability': 0.9923, 'type': 'Organization', 'normalized_text': 'Patriots'}, {'start': 75, 'end': 90, 'probability': 0.9955, 'type': 'Person', 'normalized_text': 'Colin Kaepernick'}]}","On the Boston sports call-in shows, people are suggesting the Patriots get Colin Kaepernick.  I can't believe we are now that team that may be better by hiring a guy who isn't currently in the league"
422,,2020-10-29T23:50:00.000Z,1321962522015158272,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 1}","{'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/SkCAj4GcSV', 'expanded_url': 'https://thebulwark.com/the-pro-life-case-against-trump/', 'display_url': 'thebulwark.com/the-pro-life-c…'}]}",https://t.co/SkCAj4GcSV
423,,2020-10-29T19:34:06.000Z,1321898121048301569,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 78, 'end': 101, 'url': 'https://t.co/NDLydbIYZd', 'expanded_url': 'https://embracethered.com/blog/posts/2020/husky-ai-image-rescaling-attacks/', 'display_url': 'embracethered.com/blog/posts/202…'}]}",Should be ripe for the 2024 presidential election... image attacks in your ML https://t.co/NDLydbIYZd
