,public_metrics,created_at,id,text,entities,context_annotations
615,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 14, 'quote_count': 0}",2020-08-31T16:43:27.000Z,1300474293944418310,"@sacca @Jason @assureco @AngelList Rolling Funds have crossed carry and compete with traditional fund structures (strictly speaking, they’re Pareto Superior). 

Anything a legacy fund can do, a Rolling Fund can do. So managers can use them to charge fees.","{'annotations': [{'start': 194, 'end': 205, 'probability': 0.544, 'type': 'Organization', 'normalized_text': 'Rolling Fund'}], 'mentions': [{'start': 0, 'end': 6, 'username': 'sacca'}, {'start': 7, 'end': 13, 'username': 'Jason'}, {'start': 14, 'end': 23, 'username': 'assureco'}, {'start': 24, 'end': 34, 'username': 'AngelList'}]}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1052682432493703168', 'name': 'Chris Sacca', 'description': 'Chris Sacca'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857878777191211008', 'name': 'Leadership', 'description': 'Leadership'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857879456773357569', 'name': 'Technology', 'description': 'Technology'}}]"
616,"{'retweet_count': 1, 'reply_count': 5, 'like_count': 50, 'quote_count': 0}",2020-08-31T16:26:51.000Z,1300470115863912449,"@Jason @assureco @AngelList 0.15% AUM annually for 10 years.

No carry on your own LPs.

5% carry on AngelList sourced LPs. 

https://t.co/d6FEYjMxyt","{'urls': [{'start': 126, 'end': 149, 'url': 'https://t.co/d6FEYjMxyt', 'expanded_url': 'https://angel.co/blog/rolling-venture-fund-launch', 'display_url': 'angel.co/blog/rolling-v…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1343602824916197376/ay-u744Z?format=png&name=orig', 'width': 2048, 'height': 1024}, {'url': 'https://pbs.twimg.com/news_img/1343602824916197376/ay-u744Z?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Introducing Rolling Funds', 'description': 'Introducing Rolling Venture Funds: An Always Open Venture Fund', 'unwound_url': 'https://angel.co/blog/rolling-venture-fund-launch'}], 'mentions': [{'start': 0, 'end': 6, 'username': 'Jason'}, {'start': 7, 'end': 16, 'username': 'assureco'}, {'start': 17, 'end': 27, 'username': 'AngelList'}]}",
617,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 89, 'quote_count': 0}",2020-08-31T16:22:07.000Z,1300468921619759104,"@Jason @assureco @AngelList That already exists and it’s called AngelList. 

AngelList provides optional additional LP Capital and only collects carry on capital that it brings and that the manager accepts. 

There are Rolling Fund managers who choose to bring their own LPs and pay no carry.","{'annotations': [{'start': 64, 'end': 72, 'probability': 0.3749, 'type': 'Organization', 'normalized_text': 'AngelList'}], 'mentions': [{'start': 0, 'end': 6, 'username': 'Jason'}, {'start': 7, 'end': 16, 'username': 'assureco'}, {'start': 17, 'end': 27, 'username': 'AngelList'}]}",
618,"{'retweet_count': 2, 'reply_count': 3, 'like_count': 24, 'quote_count': 0}",2020-08-28T08:00:33.000Z,1299255536131567616,@thehdmovement @creation247 https://t.co/bJcS2ovr1X,"{'urls': [{'start': 28, 'end': 51, 'url': 'https://t.co/bJcS2ovr1X', 'expanded_url': 'https://twitter.com/naval/status/1299255536131567616/photo/1', 'display_url': 'pic.twitter.com/bJcS2ovr1X'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'thehdmovement'}, {'start': 15, 'end': 27, 'username': 'creation247'}]}",
619,"{'retweet_count': 4663, 'reply_count': 407, 'like_count': 24779, 'quote_count': 355}",2020-08-26T20:51:35.000Z,1298724798655168514,"The more seriously you take yourself, the unhappier you’re going to be.",,
620,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",2020-08-26T03:57:12.000Z,1298469517677465605,"@avidya1997 @StoicismMindset Yes, love it.","{'mentions': [{'start': 0, 'end': 11, 'username': 'avidya1997'}, {'start': 12, 'end': 28, 'username': 'StoicismMindset'}]}",
621,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 146, 'quote_count': 0}",2020-08-25T13:20:33.000Z,1298248901775052802,"@Vikram_aditya17 No plans, no promises. 😉","{'mentions': [{'start': 0, 'end': 16, 'username': 'Vikram_aditya17'}]}",
622,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 16, 'quote_count': 1}",2020-08-25T05:59:18.000Z,1298137860911124480,@DKOTU @namanchordia19 Me too.,"{'mentions': [{'start': 0, 'end': 6, 'username': 'DKOTU'}, {'start': 7, 'end': 22, 'username': 'namanchordia19'}]}",
623,"{'retweet_count': 9, 'reply_count': 7, 'like_count': 192, 'quote_count': 0}",2020-08-25T05:51:08.000Z,1298135804766806016,@StoicismMindset Musashi 👌,"{'mentions': [{'start': 0, 'end': 16, 'username': 'StoicismMindset'}]}",
624,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 6, 'quote_count': 0}",2020-08-25T05:43:09.000Z,1298133796211118080,@realKaushikN Great book!,"{'mentions': [{'start': 0, 'end': 13, 'username': 'realKaushikN'}]}",
