,text,created_at,entities,id,public_metrics,context_annotations
2624,@RobGlaser Either that or your bubble is like that of a Harvard professor,2020-07-21T16:18:22.000Z,"{'annotations': [{'start': 56, 'end': 62, 'probability': 0.3997, 'type': 'Organization', 'normalized_text': 'Harvard'}], 'mentions': [{'start': 0, 'end': 10, 'username': 'RobGlaser'}]}",1285610075839766542,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596157251587', 'name': 'Government/Education'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596165570560', 'name': 'Education Related'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10047480136', 'name': 'Harvard University', 'description': 'Harvard University'}}]"
2625,"@realchrisrufo See Taiwan which is odd, too.",2020-07-21T16:17:17.000Z,"{'annotations': [{'start': 19, 'end': 24, 'probability': 0.963, 'type': 'Place', 'normalized_text': 'Taiwan'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'realchrisrufo'}]}",1285609802660552709,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 1, 'quote_count': 0}",
2626,@RobGlaser I really doubt you actually read.,2020-07-21T16:15:20.000Z,"{'mentions': [{'start': 0, 'end': 10, 'username': 'RobGlaser'}]}",1285609311616544768,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",
2627,Serious narrative violation. https://t.co/43ODmMH9aY,2020-07-21T16:09:19.000Z,"{'urls': [{'start': 29, 'end': 52, 'url': 'https://t.co/43ODmMH9aY', 'expanded_url': 'https://twitter.com/benshapiro/status/1285605253619036161', 'display_url': 'twitter.com/benshapiro/sta…'}]}",1285607800182366209,"{'retweet_count': 5, 'reply_count': 35, 'like_count': 128, 'quote_count': 2}","[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2628,LOL. https://t.co/zPsZBzGRBM,2020-07-21T13:56:05.000Z,"{'urls': [{'start': 5, 'end': 28, 'url': 'https://t.co/zPsZBzGRBM', 'expanded_url': 'https://twitter.com/axios/status/1285570669653229581', 'display_url': 'twitter.com/axios/status/1…'}]}",1285574268307124225,"{'retweet_count': 15, 'reply_count': 8, 'like_count': 241, 'quote_count': 1}","[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596157181956', 'name': 'Online Site'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1258850496674058240', 'name': 'Tiktok'}}]"
2629,Someone is paying attention :) https://t.co/RvWRnaOSct,2020-07-21T01:08:28.000Z,"{'urls': [{'start': 31, 'end': 54, 'url': 'https://t.co/RvWRnaOSct', 'expanded_url': 'https://twitter.com/PostOpinions/status/1285302009160241153', 'display_url': 'twitter.com/PostOpinions/s…'}]}",1285381094674624512,"{'retweet_count': 0, 'reply_count': 5, 'like_count': 25, 'quote_count': 0}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '888196295793418240', 'name': 'Tammy Baldwin', 'description': 'US Senator Tammy Baldwin (WI)\n'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '888196295793418240', 'name': 'Tammy Baldwin', 'description': 'US Senator Tammy Baldwin (WI)\n'}}]"
2630,"@jacobhelberg @justindross @vijaya please investigate who made this decision, and whether they are subject to compensation from China...",2020-07-20T14:48:19.000Z,"{'annotations': [{'start': 128, 'end': 132, 'probability': 0.9879, 'type': 'Place', 'normalized_text': 'China'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'jacobhelberg'}, {'start': 14, 'end': 26, 'username': 'justindross'}, {'start': 27, 'end': 34, 'username': 'vijaya'}]}",1285225026258518016,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",
2631,@conorsen Have you heard of direct mail?,2020-07-20T13:19:09.000Z,"{'mentions': [{'start': 0, 'end': 9, 'username': 'conorsen'}]}",1285202589101944832,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 13, 'quote_count': 0}",
2632,@guajirotech lol,2020-07-19T08:22:49.000Z,,1284765623801851904,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",
2633,"RT @scottbelsky: promote for the future, not for the past. and promote who you need *more* of.

despite the gravity of tenure in companies,…",2020-07-17T15:53:41.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'scottbelsky'}]}",1284154314991247366,"{'retweet_count': 27, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
