,created_at,public_metrics,entities,text,id,context_annotations
173,2018-11-02T04:21:43.000Z,"{'retweet_count': 41, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 65, 'end': 69, 'probability': 0.9882, 'type': 'Person', 'normalized_text': 'Kenny'}, {'start': 72, 'end': 78, 'probability': 0.9725, 'type': 'Person', 'normalized_text': 'Cartman'}, {'start': 81, 'end': 84, 'probability': 0.8862, 'type': 'Person', 'normalized_text': 'Stan'}, {'start': 89, 'end': 92, 'probability': 0.9918, 'type': 'Person', 'normalized_text': 'Kyle'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'BirdRide'}]}","RT @BirdRide: “Everyone can use them to get around town…” Sorry, Kenny, Cartman, Stan, &amp; Kyle, you have to be over 18 to ride Bird 🛴😉 @Sout…",1058212534052765696,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10000272006', 'name': 'South Park', 'description': 'The adventures of four boys who live in South Park, Colorado.\n\nPhoto via @SouthPark'}}, {'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10027336302', 'name': 'South Park', 'description': 'The animated series is not for children. In fact, its goal seems to be to offend as many as possible as it presents the adventures of Stan, Kyle, Kenny and Cartman. The show has taken on Saddam Hussein, Osama bin Laden, politicians of every stripe and self-important celebrities. Oh, and Kenny is killed in many episodes.'}}, {'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10034688625', 'name': 'South Park'}}, {'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10034688661', 'name': 'South Park'}}]"
174,2018-10-30T18:07:57.000Z,"{'retweet_count': 12, 'reply_count': 3, 'like_count': 44, 'quote_count': 2}","{'mentions': [{'start': 4, 'end': 17, 'username': 'getEthosLife'}, {'start': 78, 'end': 86, 'username': 'sequoia'}], 'urls': [{'start': 259, 'end': 282, 'url': 'https://t.co/atgivEiqqi', 'expanded_url': 'https://seq.vc/ethos', 'display_url': 'seq.vc/ethos'}]}","The @getEthoslife team believes life insurance should be bought, not sold. We @sequoia are thrilled with the progress we've seen over the past year &amp; excited to continue on the journey to transform this space into a more accessible, tech-driven industry. https://t.co/atgivEiqqi",1057333300799320064,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1037320960737595393', 'name': 'Sequoia Capital', 'description': 'Sequoia Capital'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1037076317722763265', 'name': 'Insurance', 'description': 'Insurance'}}]"
175,2018-10-27T01:52:21.000Z,"{'retweet_count': 187, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 30, 'end': 45, 'probability': 0.5952, 'type': 'Organization', 'normalized_text': 'City of Portland'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'DavidSacks'}], 'urls': [{'start': 110, 'end': 133, 'url': 'https://t.co/TnkuyLnsfQ', 'expanded_url': 'https://ggwash.org/view/69621/scooters-are-taking-cars-off-the-road-a-survey-says', 'display_url': 'ggwash.org/view/69621/sco…'}]}",RT @DavidSacks: Great data by City of Portland showing that scooters are taking cars off the road. It works.  https://t.co/TnkuyLnsfQ,1056000618093993985,
176,2018-10-16T18:00:20.000Z,"{'retweet_count': 26, 'reply_count': 1, 'like_count': 70, 'quote_count': 1}","{'annotations': [{'start': 92, 'end': 117, 'probability': 0.4286, 'type': 'Organization', 'normalized_text': 'Server Side Public License'}], 'mentions': [{'start': 49, 'end': 57, 'username': 'sequoia'}, {'start': 77, 'end': 85, 'username': 'MongoDB'}, {'start': 187, 'end': 201, 'username': 'eliothorowitz'}], 'urls': [{'start': 214, 'end': 237, 'url': 'https://t.co/uzjYhmhCs4', 'expanded_url': 'https://twitter.com/MongoDB/status/1052186276437331969', 'display_url': 'twitter.com/MongoDB/status…'}]}",Big day for the entire open source community. We @sequoia are confident that @MongoDB's new Server Side Public License will help protect and encourage open source innovation. Congrats to @eliothorowitz &amp; team! https://t.co/uzjYhmhCs4,1052257953749692416,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1037320960737595393', 'name': 'Sequoia Capital', 'description': 'Sequoia Capital'}}]"
177,2018-10-16T16:29:09.000Z,"{'retweet_count': 127, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 19, 'end': 25, 'probability': 0.7111, 'type': 'Organization', 'normalized_text': 'MongoDB'}, {'start': 73, 'end': 98, 'probability': 0.5887, 'type': 'Product', 'normalized_text': 'Server Side Public License'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'eliothorowitz'}]}",RT @eliothorowitz: MongoDB has created a new software license called the Server Side Public License (SSPL). This is critical for the MongoD…,1052235005483577345,
178,2018-10-13T16:32:18.000Z,"{'retweet_count': 6, 'reply_count': 24, 'like_count': 247, 'quote_count': 1}",,I find it impossible to delete old voicemail from deceased loved ones 😢,1051148633884614656,
179,2018-10-12T21:50:22.000Z,"{'retweet_count': 1, 'reply_count': 5, 'like_count': 43, 'quote_count': 0}","{'annotations': [{'start': 59, 'end': 67, 'probability': 0.8552, 'type': 'Person', 'normalized_text': 'Pik Botha'}], 'mentions': [{'start': 103, 'end': 113, 'username': 'TimesLIVE'}], 'urls': [{'start': 75, 'end': 98, 'url': 'https://t.co/t5s7Lxz9In', 'expanded_url': 'https://www.timeslive.co.za/news/south-africa/2018-10-12-my-father-taught-us-to-never-lose-our-spiritual-anchor-pik-bothas-son/', 'display_url': 'timeslive.co.za/news/south-afr…'}]}",'My father taught us to never lose our spiritual anchor' - Pik Botha's son https://t.co/t5s7Lxz9In via @TimesLIVE,1050866292515696640,
180,2018-10-12T21:48:27.000Z,"{'retweet_count': 57, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 18, 'end': 26, 'probability': 0.6901, 'type': 'Person', 'normalized_text': 'Pik Botha'}], 'mentions': [{'start': 3, 'end': 6, 'username': 'AP'}]}","RT @AP: BREAKING: Pik Botha, South African foreign minister in the last years of apartheid, has died at age 86, his son says. https://t.co/…",1050865809235398656,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667289', 'name': 'The Associated Press'}}]"
181,2018-10-06T00:48:49.000Z,"{'retweet_count': 49, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 20, 'end': 30, 'probability': 0.9142, 'type': 'Place', 'normalized_text': 'Mexico City'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'BirdRide'}], 'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/Oatx2Ad3JG', 'expanded_url': 'https://twitter.com/BirdRide/status/1048289244827934720/photo/1', 'display_url': 'pic.twitter.com/Oatx2Ad3JG'}]}","RT @BirdRide: Hola, Mexico City! Disfruta el viaje! 🛴 https://t.co/Oatx2Ad3JG",1048374482824351744,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '839159814991167489', 'name': 'Travel', 'description': 'Travel'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857603051657482241', 'name': 'Destinations', 'description': 'Destinations'}}]"
182,2018-10-05T03:56:01.000Z,"{'retweet_count': 35, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 12, 'username': 'BirdRide'}]}","RT @BirdRide: Introducing Bird Zero: the industry’s first custom, ruggedized e-scooter designed for Rideshare 2.0. Featuring a sleek design…",1048059206710976517,
183,2018-10-04T18:51:27.000Z,"{'retweet_count': 38, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 37, 'end': 49, 'probability': 0.4368, 'type': 'Organization', 'normalized_text': 'Bird Delivery'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'travisv'}]}","RT @travisv: I'm excited to announce Bird Delivery!  Not only does Bird Delivery create a magical rider experience, but it allows Bird to p…",1047922161816502273,
184,2018-10-04T16:47:13.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 41, 'quote_count': 0}","{'mentions': [{'start': 43, 'end': 58, 'username': 'GuardantHealth'}], 'urls': [{'start': 91, 'end': 114, 'url': 'https://t.co/EeSDz6Zesu', 'expanded_url': 'https://twitter.com/sequoia/status/1047869060250128390', 'display_url': 'twitter.com/sequoia/status…'}]}",Thrilled to have been in business with the @GuardantHealth team since the formative years! https://t.co/EeSDz6Zesu,1047890895498932224,
