,public_metrics,created_at,id,context_annotations,text,entities
2537,"{'retweet_count': 9, 'reply_count': 16, 'like_count': 145, 'quote_count': 0}",2020-10-16T02:13:43.000Z,1316925256716738562,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1016346389624733696', 'name': 'Fred Rogers', 'description': 'Fred Rogers'}}, {'domain': {'id': '58', 'name': 'Entertainment Personality', 'description': 'An entertainment personality in the world, like Anderson Cooper or Miranda Sings'}, 'entity': {'id': '1016346389624733696', 'name': 'Fred Rogers', 'description': 'Fred Rogers'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'Former US Vice President Joe Biden'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'Former US Vice President Joe Biden'}}]","I think you just increased @JoeBiden’s lead 

We all love Mr Rogers!!! Me Rogers would be the best president ever... especially after the 🍊  🤡 https://t.co/dNJZcOGUYc","{'urls': [{'start': 143, 'end': 166, 'url': 'https://t.co/dNJZcOGUYc', 'expanded_url': 'https://twitter.com/mercedesschlapp/status/1316895508267401221', 'display_url': 'twitter.com/mercedesschlap…'}], 'annotations': [{'start': 58, 'end': 66, 'probability': 0.9828, 'type': 'Person', 'normalized_text': 'Mr Rogers'}, {'start': 74, 'end': 79, 'probability': 0.7876, 'type': 'Person', 'normalized_text': 'Rogers'}], 'mentions': [{'start': 27, 'end': 36, 'username': 'JoeBiden'}]}"
2538,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 23, 'quote_count': 0}",2020-10-16T02:11:44.000Z,1316924760689954816,,Besties... ohhhhhh besties..... https://t.co/Vju4rF9MUU,"{'urls': [{'start': 32, 'end': 55, 'url': 'https://t.co/Vju4rF9MUU', 'expanded_url': 'https://twitter.com/Jason/status/1316924760689954816/photo/1', 'display_url': 'pic.twitter.com/Vju4rF9MUU'}]}"
2539,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 11, 'quote_count': 1}",2020-10-16T02:00:00.000Z,1316921805995601920,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '854692455005921281', 'name': 'Science', 'description': 'Science'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857878402157629440', 'name': 'Investors and patents', 'description': 'Investors and patents'}}]",".@martyodlin (CEO of #RunningTide) on the generational differences in climate response and investors shifting their focus to climate change 🔥

Full episode ✨
📺: https://t.co/M161YezXI4
🍎: https://t.co/MaLgMGIuIi
👂: https://t.co/T8DXFQBKEC https://t.co/15Q4ZmXL3r","{'urls': [{'start': 161, 'end': 184, 'url': 'https://t.co/M161YezXI4', 'expanded_url': 'https://rb.gy/z3ixbv', 'display_url': 'rb.gy/z3ixbv'}, {'start': 188, 'end': 211, 'url': 'https://t.co/MaLgMGIuIi', 'expanded_url': 'https://rb.gy/fgg88x', 'display_url': 'rb.gy/fgg88x'}, {'start': 215, 'end': 238, 'url': 'https://t.co/T8DXFQBKEC', 'expanded_url': 'https://rb.gy/n64yt8', 'display_url': 'rb.gy/n64yt8'}, {'start': 239, 'end': 262, 'url': 'https://t.co/15Q4ZmXL3r', 'expanded_url': 'https://twitter.com/Jason/status/1316921805995601920/video/1', 'display_url': 'pic.twitter.com/15Q4ZmXL3r'}], 'mentions': [{'start': 1, 'end': 12, 'username': 'martyodlin'}], 'hashtags': [{'start': 21, 'end': 33, 'tag': 'RunningTide'}]}"
2540,"{'retweet_count': 16, 'reply_count': 25, 'like_count': 160, 'quote_count': 12}",2020-10-16T01:45:32.000Z,1316918166459645953,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '972151914115710976', 'name': 'Apple AirPods', 'description': 'Apple AirPods'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857879456773357569', 'name': 'Technology', 'description': 'Technology'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '898670051594649601', 'name': 'Virtual reality', 'description': 'Virtual Reality'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '898672147031146496', 'name': 'Augmented reality', 'description': 'Augmented Reality'}}]",Apple better hope those AR glasses are a game changer... because these launch events are super uninspired since AirPods https://t.co/kWMkFZNvFn,"{'urls': [{'start': 120, 'end': 143, 'url': 'https://t.co/kWMkFZNvFn', 'expanded_url': 'https://twitter.com/OnlyTechAE/status/1316529781777760256/video/1', 'display_url': 'pic.twitter.com/kWMkFZNvFn'}], 'annotations': [{'start': 0, 'end': 4, 'probability': 0.7462, 'type': 'Organization', 'normalized_text': 'Apple'}, {'start': 112, 'end': 118, 'probability': 0.6338, 'type': 'Product', 'normalized_text': 'AirPods'}]}"
2541,"{'retweet_count': 7, 'reply_count': 48, 'like_count': 257, 'quote_count': 2}",2020-10-16T01:43:44.000Z,1316917710727598081,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]","200+ people in town today, only 1 didn’t wear a mask 

Trump could have gotten the country behind this simple act—that’s the ultimate test of his pathetic leadership

He should have made trump 2020 masks &amp; gaven them away—we would have save 100k lives &amp; won the election","{'annotations': [{'start': 55, 'end': 59, 'probability': 0.9579, 'type': 'Person', 'normalized_text': 'Trump'}, {'start': 187, 'end': 191, 'probability': 0.9648, 'type': 'Person', 'normalized_text': 'trump'}]}"
2542,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 11, 'quote_count': 0}",2020-10-16T01:30:00.000Z,1316914255334154240,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]",".@martyodlin: ""When people take a pause and look around at their natural environment and start to listen, there's a lot to learn by doing that."" 👣

Lessons learned from the pandemic pause👇
📺: https://t.co/HsA9bLRUFB
🍎: https://t.co/MaLgMH066S
👂: https://t.co/T8DXFQTm3c https://t.co/PZFQoeIxvx","{'urls': [{'start': 192, 'end': 215, 'url': 'https://t.co/HsA9bLRUFB', 'expanded_url': 'https://rb.gy/mw4fm6', 'display_url': 'rb.gy/mw4fm6'}, {'start': 219, 'end': 242, 'url': 'https://t.co/MaLgMH066S', 'expanded_url': 'https://rb.gy/fgg88x', 'display_url': 'rb.gy/fgg88x'}, {'start': 246, 'end': 269, 'url': 'https://t.co/T8DXFQTm3c', 'expanded_url': 'https://rb.gy/n64yt8', 'display_url': 'rb.gy/n64yt8'}, {'start': 270, 'end': 293, 'url': 'https://t.co/PZFQoeIxvx', 'expanded_url': 'https://twitter.com/Jason/status/1316914255334154240/video/1', 'display_url': 'pic.twitter.com/PZFQoeIxvx'}], 'mentions': [{'start': 1, 'end': 12, 'username': 'martyodlin'}]}"
2543,"{'retweet_count': 11, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2020-10-16T00:02:47.000Z,1316892307510059008,,RT @MinimSecure: Minim is thrilled to announce that we’ve been named the Next-Generation Firewall Solution of the Year for the 2020 @InfoSe…,"{'annotations': [{'start': 17, 'end': 21, 'probability': 0.3245, 'type': 'Person', 'normalized_text': 'Minim'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'MinimSecure'}]}"
2544,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",2020-10-15T23:38:14.000Z,1316886127458963457,"[{'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '871795678447456256', 'name': 'The White House', 'description': 'Conversation from and about the White House, both as a destination and as political voice'}}]","@sfsonofliberty I tell you what, I will rent a truck now.... and help you guys move him out of the white house!","{'mentions': [{'start': 0, 'end': 15, 'username': 'sfsonofliberty'}]}"
2545,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 31, 'quote_count': 1}",2020-10-15T23:23:13.000Z,1316882348575604736,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '871795678447456256', 'name': 'The White House', 'description': 'Conversation from and about the White House, both as a destination and as political voice'}}]","The fact that covid didn’t kill ⁦@GovChristie⁩ is really encouraging 🙏🏼 — the fact that someone at such absurdly high risk wouldn’t wear a mask or socially isolate??? That’s crazy!

Christie Says He Was ‘Wrong’ Not to Wear Masks at White House  https://t.co/HSRL7HzdCV","{'urls': [{'start': 245, 'end': 268, 'url': 'https://t.co/HSRL7HzdCV', 'expanded_url': 'https://www.nytimes.com/2020/10/15/us/politics/chris-christie-face-masks-covid.html', 'display_url': 'nytimes.com/2020/10/15/us/…'}], 'annotations': [{'start': 184, 'end': 191, 'probability': 0.8286, 'type': 'Person', 'normalized_text': 'Christie'}, {'start': 234, 'end': 244, 'probability': 0.9486, 'type': 'Place', 'normalized_text': 'White House'}], 'mentions': [{'start': 33, 'end': 45, 'username': 'GovChristie'}]}"
2546,"{'retweet_count': 5, 'reply_count': 7, 'like_count': 100, 'quote_count': 0}",2020-10-15T23:20:48.000Z,1316881742871969794,,"Finally, we’ve broken 1m tests a day... pathetic! 

We should be at 10m and we should have crushed this thing by now 

Complete failure of leadership we didn’t get testing to a decent level https://t.co/oe14T6Ie64","{'urls': [{'start': 190, 'end': 213, 'url': 'https://t.co/oe14T6Ie64', 'expanded_url': 'https://twitter.com/Jason/status/1316881742871969794/photo/1', 'display_url': 'pic.twitter.com/oe14T6Ie64'}]}"
