,created_at,public_metrics,text,entities,id,context_annotations
830,2018-08-02T00:18:56.000Z,"{'retweet_count': 70, 'reply_count': 32, 'like_count': 387, 'quote_count': 20}","CaaS is out of beta!! We launched our first market today: Brazil. Now any Brazilian startup can access automated capital and other good stuff from the team @socialcapital 24 hours per day, 365 days per year! Go 🇧🇷!!! https://t.co/BgRMFyQ4R4","{'urls': [{'start': 217, 'end': 240, 'url': 'https://t.co/BgRMFyQ4R4', 'expanded_url': 'https://twitter.com/socialcapital/status/1024642790179790848', 'display_url': 'twitter.com/socialcapital/…'}], 'mentions': [{'start': 156, 'end': 170, 'username': 'socialcapital'}], 'annotations': [{'start': 58, 'end': 63, 'probability': 0.9851, 'type': 'Place', 'normalized_text': 'Brazil'}]}",1024811753857642496,
831,2018-07-27T09:45:21.000Z,"{'retweet_count': 26, 'reply_count': 3, 'like_count': 232, 'quote_count': 1}",This is a really important strategic win for Slack and a valuable partnership. Slack is increasingly poised to be one of the most important enterprise companies of the next several decades... https://t.co/uDiAI9JBXZ,"{'urls': [{'start': 192, 'end': 215, 'url': 'https://t.co/uDiAI9JBXZ', 'expanded_url': 'https://twitter.com/SlackHQ/status/1022575306614431756', 'display_url': 'twitter.com/SlackHQ/status…'}], 'annotations': [{'start': 45, 'end': 49, 'probability': 0.8964, 'type': 'Organization', 'normalized_text': 'Slack'}, {'start': 79, 'end': 83, 'probability': 0.6214, 'type': 'Organization', 'normalized_text': 'Slack'}]}",1022779967912984576,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597226799105', 'name': 'B2B'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597172203520', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040695065', 'name': 'Atlassian'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10042877598', 'name': 'Slack'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10043701884', 'name': 'HipChat'}}]"
832,2018-07-27T08:58:20.000Z,"{'retweet_count': 152, 'reply_count': 80, 'like_count': 1339, 'quote_count': 17}",Oldie and a goodie...people called me a fool when I sold all my $FB to buy $AMZN in 2014...🤔 https://t.co/lR9jg4McQx,"{'urls': [{'start': 93, 'end': 116, 'url': 'https://t.co/lR9jg4McQx', 'expanded_url': 'https://twitter.com/chamath/status/592024018120671232', 'display_url': 'twitter.com/chamath/status…'}], 'annotations': [{'start': 75, 'end': 79, 'probability': 0.3889, 'type': 'Organization', 'normalized_text': '$AMZN'}], 'cashtags': [{'start': 64, 'end': 67, 'tag': 'FB'}, {'start': 75, 'end': 80, 'tag': 'AMZN'}]}",1022768137161170944,
833,2018-07-26T18:03:32.000Z,"{'retweet_count': 9, 'reply_count': 10, 'like_count': 122, 'quote_count': 3}","“The leader from the ex­perts was a rec­om­men­dation from ven­ture cap­i­tal­ist and for­mer Face­book ex­ec­u­tive Chamath Pal­i­hapi­tiya to buy Box. Yet, while Box was up a solid 16%, it lagged be­hind three dart picks.”

🤷🏽‍♂️🤦🏽‍♂️🙈 https://t.co/saBxJezMxp","{'urls': [{'start': 238, 'end': 261, 'url': 'https://t.co/saBxJezMxp', 'expanded_url': 'https://www.wsj.com/articles/darts-are-beating-the-ira-sohn-investing-pros-1532512804', 'display_url': 'wsj.com/articles/darts…'}]}",1022542952298672128,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10029202045', 'name': 'Facebook'}}]"
834,2018-07-18T11:23:24.000Z,"{'retweet_count': 8, 'reply_count': 10, 'like_count': 78, 'quote_count': 0}",🦂... 🤯. Amazing.,,1019543151416041472,
835,2018-07-13T21:55:31.000Z,"{'retweet_count': 29, 'reply_count': 5, 'like_count': 180, 'quote_count': 6}",Applying AI to solve a big problem for US cities: detecting lead pipes and helping clean up our cities’ drinking water and water supply... https://t.co/K3cLvET9mf,"{'urls': [{'start': 139, 'end': 162, 'url': 'https://t.co/K3cLvET9mf', 'expanded_url': 'https://twitter.com/kuang/status/1017868774794412032', 'display_url': 'twitter.com/kuang/status/1…'}], 'annotations': [{'start': 39, 'end': 40, 'probability': 0.5766, 'type': 'Place', 'normalized_text': 'US'}]}",1017890289804042241,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '834828264786898945', 'name': 'Drinks', 'description': 'Drinks'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1006278636842782720', 'name': 'Drink Experience', 'description': 'Drink Experience'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '808713037230157824', 'name': 'Elon Musk', 'description': 'Elon Musk'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '834828264786898945', 'name': 'Drinks', 'description': 'Drinks'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '834828445238431744', 'name': 'Generic Drinks', 'description': 'Generic Drinks'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '850146068683571201', 'name': 'Water', 'description': 'Water'}}]"
836,2018-07-09T15:42:46.000Z,"{'retweet_count': 31, 'reply_count': 7, 'like_count': 158, 'quote_count': 1}","Another unicorn in the portfolio...but this one has been one for a while, just in a very under the radar way...congrats @barrysilbert and @DCGco 

https://t.co/PQ7huuDL9W","{'urls': [{'start': 147, 'end': 170, 'url': 'https://t.co/PQ7huuDL9W', 'expanded_url': 'https://www.theinformation.com/articles/one-investors-outsize-role-in-the-crypto-market?eu=0dJHBW2a_pIQxkXRDN-RUA&utm_medium=email&utm_source=sg&utm_campaign=article_email', 'display_url': 'theinformation.com/articles/one-i…'}], 'mentions': [{'start': 120, 'end': 133, 'username': 'BarrySilbert'}, {'start': 138, 'end': 144, 'username': 'DCGco'}]}",1016346935148597248,
837,2018-06-26T15:09:32.000Z,"{'retweet_count': 45, 'reply_count': 9, 'like_count': 253, 'quote_count': 11}","We’ve been working with Davida to get the science and the business of climate change figured out. She is one of the most dynamic entrepreneurs I’ve met and we’re thrilled to lead her Series A and help @aclima improve air quality for citizens everywhere.

https://t.co/mMD7jVGsVy","{'urls': [{'start': 255, 'end': 278, 'url': 'https://t.co/mMD7jVGsVy', 'expanded_url': 'https://techcrunch.com/2018/06/26/aclima-sucks-in-24m-to-scale-its-air-quality-mapping-platform/?guccounter=1', 'display_url': 'techcrunch.com/2018/06/26/acl…'}], 'mentions': [{'start': 201, 'end': 208, 'username': 'aclima'}], 'annotations': [{'start': 24, 'end': 29, 'probability': 0.5653, 'type': 'Person', 'normalized_text': 'Davida'}]}",1011627527620710400,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '854692455005921281', 'name': 'Science', 'description': 'Science'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857083369514876928', 'name': 'Weather', 'description': 'Weather'}}]"
838,2018-06-19T15:30:33.000Z,"{'retweet_count': 44, 'reply_count': 11, 'like_count': 274, 'quote_count': 5}","This is, unfortunately, something all successful Silicon Valley companies will have to deal with going forward...I think @Tesla will be fine...because you can’t fix what you don’t acknowledge. 

https://t.co/fj4HhZxfLu","{'urls': [{'start': 195, 'end': 218, 'url': 'https://t.co/fj4HhZxfLu', 'expanded_url': 'https://launch.us2.list-manage.com/track/click?u=baefb9fcb23d26e0308254e5c&id=a46fc39577&e=0c61ed61a8', 'display_url': 'launch.us2.list-manage.com/track/click?u=…'}], 'mentions': [{'start': 121, 'end': 127, 'username': 'Tesla'}], 'annotations': [{'start': 49, 'end': 62, 'probability': 0.7571, 'type': 'Organization', 'normalized_text': 'Silicon Valley'}]}",1009096103520657408,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781972125171060736', 'name': 'Auto'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781972125179518977', 'name': 'Auto Manufacturer'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10044199219', 'name': 'Tesla Motors'}}]"
839,2018-06-18T22:10:05.000Z,"{'retweet_count': 166, 'reply_count': 38, 'like_count': 857, 'quote_count': 35}","This is a really important update on our Capital as a Service product. If nothing else, I encourage you to review the infographic. We will hold ourselves accountable to updating this every year going forward - the early results are really promising.

https://t.co/nWCSRbp53w https://t.co/74H3D7UlBY","{'urls': [{'start': 251, 'end': 274, 'url': 'https://t.co/nWCSRbp53w', 'expanded_url': 'https://medium.com/@StanfordAsh/from-experiment-to-product-capital-as-a-service-one-year-later-6d8b4b9c038b', 'display_url': 'medium.com/@StanfordAsh/f…'}, {'start': 275, 'end': 298, 'url': 'https://t.co/74H3D7UlBY', 'expanded_url': 'https://twitter.com/chamath/status/1008834258847260672/photo/1', 'display_url': 'pic.twitter.com/74H3D7UlBY'}]}",1008834258847260672,
