,context_annotations,created_at,text,entities,id,public_metrics
158,,2020-11-24T01:23:41.000Z,"SF was always the Accidental Billionaire. Because of proximity to Silicon Valley, it benefitted from tech wealth its policies did nothing to create. Its collapse will redistribute opportunity to rest of country. So SF politicians will “spread the wealth” just not how they thought","{'annotations': [{'start': 66, 'end': 79, 'probability': 0.4858, 'type': 'Place', 'normalized_text': 'Silicon Valley'}]}",1331045793638141955,"{'retweet_count': 138, 'reply_count': 61, 'like_count': 2114, 'quote_count': 53}"
159,,2020-11-24T00:19:20.000Z,"@lukethomas14 Logged-in visit. You can certainly define a more specific activity metric based on actions taken, but we need a common-denominator metric that works for every SaaS product.","{'mentions': [{'start': 0, 'end': 13, 'username': 'lukethomas14'}]}",1331029597610250242,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}"
160,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '849075881653846016', 'name': 'Startups', 'description': 'Startups'}}]",2020-11-24T00:01:16.000Z,"New blog post: What's considered good engagement for a SaaS startup? 

Measuring SaaS Engagement: How to Adapt a B2C Metric for B2B. 

https://t.co/kxqvVHggaK","{'urls': [{'start': 135, 'end': 158, 'url': 'https://t.co/kxqvVHggaK', 'expanded_url': 'https://sacks.substack.com/p/measuring-saas-engagement', 'display_url': 'sacks.substack.com/p/measuring-sa…'}]}",1331025050758230016,"{'retweet_count': 57, 'reply_count': 23, 'like_count': 590, 'quote_count': 22}"
161,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '10045102759', 'name': 'Elizabeth Warren', 'description': 'US Senator Elizabeth Warren (MA)'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '10045102759', 'name': 'Elizabeth Warren', 'description': 'US Senator Elizabeth Warren (MA)'}}]",2020-11-23T21:47:20.000Z,The bounties of capitalism fund the welfare state. Rational people can debate the percentages but understand that we need both a free enterprise system and a social safety net. Socialists want to kill the golden goose. More entrepreneurialism ultimately means more generosity. https://t.co/0bgTSxzXDK,"{'urls': [{'start': 277, 'end': 300, 'url': 'https://t.co/0bgTSxzXDK', 'expanded_url': 'https://twitter.com/Jason/status/1330987627428757504', 'display_url': 'twitter.com/Jason/status/1…'}]}",1330991345373040640,"{'retweet_count': 47, 'reply_count': 41, 'like_count': 574, 'quote_count': 11}"
162,,2020-11-22T23:12:41.000Z,@ProleNBoujie Public officials carrying out public duties are in a different category.,"{'mentions': [{'start': 0, 'end': 13, 'username': 'ProleNBoujie'}]}",1330650438828314624,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}"
163,,2020-11-22T23:11:25.000Z,"@willowdesk Yup, I also support body cams for police, especially for any 5th amendment search &amp; seizure.","{'mentions': [{'start': 0, 'end': 11, 'username': 'willowdesk'}]}",1330650119893467137,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}"
164,,2020-11-22T22:25:45.000Z,@levynews The models with credibility would be open sourced.,"{'mentions': [{'start': 0, 'end': 9, 'username': 'levynews'}]}",1330638626686783488,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}"
165,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857879456773357569', 'name': 'Technology', 'description': 'Technology'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1001503516555337728', 'name': 'Blockchain', 'description': 'Blockchain'}}]",2020-11-22T21:01:23.000Z,"@patricebaumel I understand the merits of blockchain but the public isn’t going to trust digital voting for many years. Hence, keep the votes analog but the observation digital.","{'mentions': [{'start': 0, 'end': 14, 'username': 'patricebaumel'}]}",1330617397602963457,"{'retweet_count': 0, 'reply_count': 8, 'like_count': 31, 'quote_count': 1}"
166,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '848921413196984320', 'name': 'Computer programming', 'description': 'Computer programming'}}]",2020-11-22T20:52:36.000Z,"Vote counters should wear body cams. 

Stream it to the cloud where the data is available to any developer. Computer vision models will do the rest. 

Much better than vote observers standing x feet away.",,1330615183966814209,"{'retweet_count': 49, 'reply_count': 53, 'like_count': 1002, 'quote_count': 17}"
167,,2020-11-21T21:46:38.000Z,"Sales excellence is the missing piece for a huge number of product and tech founders. This book by @kazanjy demystifies it and shows you how to do it yourself until it's time to hire someone else to do it. Highly recommend. 

https://t.co/P7Azo5km5U","{'urls': [{'start': 226, 'end': 249, 'url': 'https://t.co/P7Azo5km5U', 'expanded_url': 'https://www.foundingsales.com/', 'display_url': 'foundingsales.com'}], 'mentions': [{'start': 99, 'end': 107, 'username': 'Kazanjy'}]}",1330266396182401029,"{'retweet_count': 29, 'reply_count': 8, 'like_count': 270, 'quote_count': 3}"
